#;Time(ms);A/D Counts;Load(kN)
0;-3,869628906;491;-0,025559
1;-3,857421875;491;-0,025559
2;-3,845214844;497;0,051117
3;-3,833007813;495;0,025559
4;-3,820800781;494;0,012779
5;-3,80859375;488;-0,063897
6;-3,796386719;490;-0,038338
7;-3,784179688;490;-0,038338
8;-3,771972656;496;0,038338
9;-3,759765625;500;0,089455
10;-3,747558594;493;0
11;-3,735351563;494;0,012779
12;-3,723144531;493;0
13;-3,7109375;496;0,038338
14;-3,698730469;492;-0,012779
15;-3,686523438;493;0
16;-3,674316406;494;0,012779
17;-3,662109375;493;0
18;-3,649902344;495;0,025559
19;-3,637695313;494;0,012779
20;-3,625488281;493;0
21;-3,61328125;494;0,012779
22;-3,601074219;493;0
23;-3,588867188;496;0,038338
24;-3,576660156;493;0
25;-3,564453125;493;0
26;-3,552246094;493;0
27;-3,540039063;493;0
28;-3,527832031;495;0,025559
29;-3,515625;493;0
30;-3,503417969;492;-0,012779
31;-3,491210938;493;0
32;-3,479003906;493;0
33;-3,466796875;495;0,025559
34;-3,454589844;493;0
35;-3,442382813;493;0
36;-3,430175781;494;0,012779
37;-3,41796875;493;0
38;-3,405761719;495;0,025559
39;-3,393554688;493;0
40;-3,381347656;493;0
41;-3,369140625;493;0
42;-3,356933594;494;0,012779
43;-3,344726563;496;0,038338
44;-3,332519531;493;0
45;-3,3203125;493;0
46;-3,308105469;494;0,012779
47;-3,295898438;493;0
48;-3,283691406;495;0,025559
49;-3,271484375;493;0
50;-3,259277344;493;0
51;-3,247070313;493;0
52;-3,234863281;493;0
53;-3,22265625;495;0,025559
54;-3,210449219;493;0
55;-3,198242188;493;0
56;-3,186035156;494;0,012779
57;-3,173828125;493;0
58;-3,161621094;496;0,038338
59;-3,149414063;493;0
60;-3,137207031;493;0
61;-3,125;493;0
62;-3,112792969;492;-0,012779
63;-3,100585938;495;0,025559
64;-3,088378906;493;0
65;-3,076171875;493;0
66;-3,063964844;493;0
67;-3,051757813;493;0
68;-3,039550781;495;0,025559
69;-3,02734375;492;-0,012779
70;-3,015136719;492;-0,012779
71;-3,002929688;493;0
72;-2,990722656;492;-0,012779
73;-2,978515625;494;0,012779
74;-2,966308594;492;-0,012779
75;-2,954101563;493;0
76;-2,941894531;493;0
77;-2,9296875;493;0
78;-2,917480469;494;0,012779
79;-2,905273438;492;-0,012779
80;-2,893066406;493;0
81;-2,880859375;493;0
82;-2,868652344;493;0
83;-2,856445313;494;0,012779
84;-2,844238281;493;0
85;-2,83203125;493;0
86;-2,819824219;494;0,012779
87;-2,807617188;493;0
88;-2,795410156;495;0,025559
89;-2,783203125;492;-0,012779
90;-2,770996094;493;0
91;-2,758789063;493;0
92;-2,746582031;493;0
93;-2,734375;495;0,025559
94;-2,722167969;492;-0,012779
95;-2,709960938;493;0
96;-2,697753906;493;0
97;-2,685546875;493;0
98;-2,673339844;495;0,025559
99;-2,661132813;494;0,012779
100;-2,648925781;493;0
101;-2,63671875;493;0
102;-2,624511719;493;0
103;-2,612304688;495;0,025559
104;-2,600097656;492;-0,012779
105;-2,587890625;494;0,012779
106;-2,575683594;494;0,012779
107;-2,563476563;493;0
108;-2,551269531;495;0,025559
109;-2,5390625;492;-0,012779
110;-2,526855469;493;0
111;-2,514648438;493;0
112;-2,502441406;493;0
113;-2,490234375;495;0,025559
114;-2,478027344;493;0
115;-2,465820313;493;0
116;-2,453613281;493;0
117;-2,44140625;493;0
118;-2,429199219;495;0,025559
119;-2,416992188;493;0
120;-2,404785156;493;0
121;-2,392578125;494;0,012779
122;-2,380371094;492;-0,012779
123;-2,368164063;495;0,025559
124;-2,355957031;493;0
125;-2,34375;493;0
126;-2,331542969;493;0
127;-2,319335938;493;0
128;-2,307128906;495;0,025559
129;-2,294921875;493;0
130;-2,282714844;493;0
131;-2,270507813;493;0
132;-2,258300781;493;0
133;-2,24609375;495;0,025559
134;-2,233886719;493;0
135;-2,221679688;493;0
136;-2,209472656;494;0,012779
137;-2,197265625;493;0
138;-2,185058594;495;0,025559
139;-2,172851563;493;0
140;-2,160644531;494;0,012779
141;-2,1484375;494;0,012779
142;-2,136230469;493;0
143;-2,124023438;495;0,025559
144;-2,111816406;493;0
145;-2,099609375;494;0,012779
146;-2,087402344;493;0
147;-2,075195313;493;0
148;-2,062988281;495;0,025559
149;-2,05078125;493;0
150;-2,038574219;493;0
151;-2,026367188;493;0
152;-2,014160156;493;0
153;-2,001953125;495;0,025559
154;-1,989746094;493;0
155;-1,977539063;494;0,012779
156;-1,965332031;494;0,012779
157;-1,953125;493;0
158;-1,940917969;494;0,012779
159;-1,928710938;492;-0,012779
160;-1,916503906;494;0,012779
161;-1,904296875;493;0
162;-1,892089844;493;0
163;-1,879882813;495;0,025559
164;-1,867675781;493;0
165;-1,85546875;494;0,012779
166;-1,843261719;493;0
167;-1,831054688;493;0
168;-1,818847656;495;0,025559
169;-1,806640625;493;0
170;-1,794433594;494;0,012779
171;-1,782226563;494;0,012779
172;-1,770019531;493;0
173;-1,7578125;495;0,025559
174;-1,745605469;493;0
175;-1,733398438;494;0,012779
176;-1,721191406;494;0,012779
177;-1,708984375;493;0
178;-1,696777344;495;0,025559
179;-1,684570313;493;0
180;-1,672363281;494;0,012779
181;-1,66015625;494;0,012779
182;-1,647949219;493;0
183;-1,635742188;495;0,025559
184;-1,623535156;493;0
185;-1,611328125;494;0,012779
186;-1,599121094;493;0
187;-1,586914063;493;0
188;-1,574707031;495;0,025559
189;-1,5625;493;0
190;-1,550292969;493;0
191;-1,538085938;494;0,012779
192;-1,525878906;493;0
193;-1,513671875;495;0,025559
194;-1,501464844;493;0
195;-1,489257813;494;0,012779
196;-1,477050781;493;0
197;-1,46484375;493;0
198;-1,452636719;495;0,025559
199;-1,440429688;493;0
200;-1,428222656;494;0,012779
201;-1,416015625;494;0,012779
202;-1,403808594;493;0
203;-1,391601563;495;0,025559
204;-1,379394531;493;0
205;-1,3671875;494;0,012779
206;-1,354980469;494;0,012779
207;-1,342773438;493;0
208;-1,330566406;495;0,025559
209;-1,318359375;493;0
210;-1,306152344;495;0,025559
211;-1,293945313;494;0,012779
212;-1,281738281;493;0
213;-1,26953125;495;0,025559
214;-1,257324219;493;0
215;-1,245117188;494;0,012779
216;-1,232910156;494;0,012779
217;-1,220703125;493;0
218;-1,208496094;495;0,025559
219;-1,196289063;493;0
220;-1,184082031;494;0,012779
221;-1,171875;493;0
222;-1,159667969;493;0
223;-1,147460938;495;0,025559
224;-1,135253906;493;0
225;-1,123046875;494;0,012779
226;-1,110839844;493;0
227;-1,098632813;493;0
228;-1,086425781;495;0,025559
229;-1,07421875;493;0
230;-1,062011719;494;0,012779
231;-1,049804688;494;0,012779
232;-1,037597656;493;0
233;-1,025390625;495;0,025559
234;-1,013183594;493;0
235;-1,000976563;495;0,025559
236;-0,988769531;494;0,012779
237;-0,9765625;493;0
238;-0,964355469;495;0,025559
239;-0,952148438;494;0,012779
240;-0,939941406;495;0,025559
241;-0,927734375;494;0,012779
242;-0,915527344;493;0
243;-0,903320313;496;0,038338
244;-0,891113281;493;0
245;-0,87890625;495;0,025559
246;-0,866699219;493;0
247;-0,854492188;493;0
248;-0,842285156;495;0,025559
249;-0,830078125;494;0,012779
250;-0,817871094;495;0,025559
251;-0,805664063;494;0,012779
252;-0,793457031;494;0,012779
253;-0,78125;495;0,025559
254;-0,769042969;493;0
255;-0,756835938;494;0,012779
256;-0,744628906;494;0,012779
257;-0,732421875;493;0
258;-0,720214844;495;0,025559
259;-0,708007813;494;0,012779
260;-0,695800781;495;0,025559
261;-0,68359375;493;0
262;-0,671386719;493;0
263;-0,659179688;496;0,038338
264;-0,646972656;493;0
265;-0,634765625;495;0,025559
266;-0,622558594;494;0,012779
267;-0,610351563;493;0
268;-0,598144531;495;0,025559
269;-0,5859375;493;0
270;-0,573730469;495;0,025559
271;-0,561523438;494;0,012779
272;-0,549316406;493;0
273;-0,537109375;494;0,012779
274;-0,524902344;493;0
275;-0,512695313;495;0,025559
276;-0,500488281;493;0
277;-0,48828125;493;0
278;-0,476074219;495;0,025559
279;-0,463867188;493;0
280;-0,451660156;495;0,025559
281;-0,439453125;493;0
282;-0,427246094;494;0,012779
283;-0,415039063;495;0,025559
284;-0,402832031;493;0
285;-0,390625;495;0,025559
286;-0,378417969;494;0,012779
287;-0,366210938;493;0
288;-0,354003906;494;0,012779
289;-0,341796875;493;0
290;-0,329589844;495;0,025559
291;-0,317382813;493;0
292;-0,305175781;494;0,012779
293;-0,29296875;494;0,012779
294;-0,280761719;493;0
295;-0,268554688;495;0,025559
296;-0,256347656;493;0
297;-0,244140625;493;0
298;-0,231933594;495;0,025559
299;-0,219726563;493;0
300;-0,207519531;495;0,025559
301;-0,1953125;494;0,012779
302;-0,183105469;493;0
303;-0,170898438;495;0,025559
304;-0,158691406;493;0
305;-0,146484375;495;0,025559
306;-0,134277344;494;0,012779
307;-0,122070313;493;0
308;-0,109863281;494;0,012779
309;-0,09765625;493;0
310;-0,085449219;495;0,025559
311;-0,073242188;493;0
312;-0,061035156;493;0
313;-0,048828125;495;0,025559
314;-0,036621094;493;0
315;-0,024414063;496;0,038338
316;-0,012207031;494;0,012779
317;0;495;0,025559
318;0,012207031;497;0,051117
319;0,024414063;496;0,038338
