Time	Force
0.00005	-496.57856
0.00010	-516.85895
0.00015	-494.07199
0.00020	-494.75560
0.00025	-513.44091
0.00030	-493.38839
0.00035	-499.76873
0.00040	-516.63108
0.00045	-500.22447
0.00050	-505.92121
0.00055	-514.80813
0.00060	-495.21134
0.00065	-515.03600
0.00070	-514.80813
0.00075	-510.02287
0.00080	-515.94748
0.00085	-506.83269
0.00090	-516.63108
0.00095	-513.89665
0.00100	-514.58026
0.00105	-515.03600
0.00110	-515.71961
0.00115	-510.70647
0.00120	-490.65395
0.00125	-515.94748
0.00130	-514.80813
0.00135	-513.44091
0.00140	-491.79330
0.00145	-511.61795
0.00150	-516.63108
0.00155	-517.54256
0.00160	-514.12452
0.00165	-496.12282
0.00170	-518.90978
0.00175	-497.71791
0.00180	-517.77043
0.00185	-517.31469
0.00190	-514.58026
0.00195	-494.75560
0.00200	-516.63108
0.00205	-517.54256
0.00210	-495.21134
0.00215	-502.95891
0.00220	-517.54256
0.00225	-503.87039
0.00230	-502.04743
0.00235	-512.07369
0.00240	-515.94748
0.00245	-517.54256
0.00250	-515.26387
0.00255	-512.52943
0.00260	-508.19991
0.00265	-515.49174
0.00270	-504.32613
0.00275	-515.71961
0.00280	-492.93265
0.00285	-516.63108
0.00290	-517.08682
0.00295	-490.65395
0.00300	-508.42778
0.00305	-515.49174
0.00310	-502.95891
0.00315	-489.28673
0.00320	-514.80813
0.00325	-515.49174
0.00330	-497.94578
0.00335	-494.29986
0.00340	-516.17534
0.00345	-491.33756
0.00350	-494.29986
0.00355	-512.52943
0.00360	-492.93265
0.00365	-495.66708
0.00370	-512.07369
0.00375	-508.19991
0.00380	-494.29986
0.00385	-509.11139
0.00390	-507.74417
0.00395	-509.33926
0.00400	-505.23760
0.00405	-508.65565
0.00410	-488.83099
0.00415	-509.11139
0.00420	-508.19991
0.00425	-492.24904
0.00430	-490.19821
0.00435	-507.51630
0.00440	-499.76873
0.00445	-510.70647
0.00450	-510.47860
0.00455	-482.67852
0.00460	-507.06056
0.00465	-498.40152
0.00470	-507.97204
0.00475	-490.19821
0.00480	-510.02287
0.00485	-508.42778
0.00490	-493.16052
0.00495	-483.58999
0.00500	-496.57856
0.00505	-506.60482
0.00510	-505.46547
0.00515	-509.33926
0.00520	-489.05886
0.00525	-496.57856
0.00530	-505.92121
0.00535	-507.06056
0.00540	-494.52773
0.00545	-499.76873
0.00550	-483.36212
0.00555	-507.28843
0.00560	-495.89495
0.00565	-487.91952
0.00570	-485.86869
0.00575	-506.83269
0.00580	-497.49004
0.00585	-502.04743
0.00590	-507.74417
0.00595	-502.73104
0.00600	-499.76873
0.00605	-497.94578
0.00610	-509.56713
0.00615	-482.90638
0.00620	-504.55400
0.00625	-492.47691
0.00630	-491.10969
0.00635	-499.54086
0.00640	-508.42778
0.00645	-483.81786
0.00650	-507.51630
0.00655	-491.79330
0.00660	-481.53917
0.00665	-487.91952
0.00670	-508.42778
0.00675	-494.07199
0.00680	-481.53917
0.00685	-507.28843
0.00690	-495.89495
0.00695	-483.36212
0.00700	-494.52773
0.00705	-493.61626
0.00710	-481.99491
0.00715	-507.51630
0.00720	-491.10969
0.00725	-507.28843
0.00730	-506.37695
0.00735	-499.54086
0.00740	-505.46547
0.00745	-507.51630
0.00750	-481.53917
0.00755	-498.40152
0.00760	-507.51630
0.00765	-480.39982
0.00770	-501.13595
0.00775	-506.14908
0.00780	-500.22447
0.00785	-490.65395
0.00790	-497.26217
0.00795	-505.69334
0.00800	-479.71621
0.00805	-500.22447
0.00810	-492.47691
0.00815	-505.00973
0.00820	-504.78187
0.00825	-487.23591
0.00830	-505.46547
0.00835	-484.72934
0.00840	-504.78187
0.00845	-495.89495
0.00850	-504.78187
0.00855	-501.36382
0.00860	-486.09656
0.00865	-486.78017
0.00870	-502.27530
0.00875	-500.22447
0.00880	-502.95891
0.00885	-488.60312
0.00890	-499.31299
0.00895	-479.71621
0.00900	-501.36382
0.00905	-495.21134
0.00910	-481.08343
0.00915	-505.23760
0.00920	-483.58999
0.00925	-504.09826
0.00930	-493.38839
0.00935	-506.14908
0.00940	-483.13425
0.00945	-504.55400
0.00950	-503.87039
0.00955	-500.68021
0.00960	-481.99491
0.00965	-485.41295
0.00970	-502.73104
0.00975	-502.95891
0.00980	-488.83099
0.00985	-481.76704
0.00990	-504.09826
0.00995	-495.89495
0.01000	-484.27360
0.01005	-501.59169
0.01010	-504.32613
0.01015	-504.55400
0.01020	-494.98347
0.01025	-482.67852
0.01030	-497.94578
0.01035	-503.18678
0.01040	-490.42608
0.01045	-487.23591
0.01050	-504.55400
0.01055	-497.94578
0.01060	-500.68021
0.01065	-506.37695
0.01070	-482.67852
0.01075	-504.55400
0.01080	-505.23760
0.01085	-506.83269
0.01090	-485.41295
0.01095	-508.42778
0.01100	-501.81956
0.01105	-507.74417
0.01110	-482.22278
0.01115	-489.74247
0.01120	-499.54086
0.01125	-500.22447
0.01130	-502.50317
0.01135	-500.22447
0.01140	-506.37695
0.01145	-482.90638
0.01150	-505.69334
0.01155	-497.94578
0.01160	-479.48834
0.01165	-506.37695
0.01170	-505.69334
0.01175	-489.28673
0.01180	-500.68021
0.01185	-504.55400
0.01190	-492.47691
0.01195	-496.35069
0.01200	-479.48834
0.01205	-504.09826
0.01210	-493.38839
0.01215	-491.79330
0.01220	-483.13425
0.01225	-502.95891
0.01230	-505.00973
0.01235	-505.00973
0.01240	-503.87039
0.01245	-506.60482
0.01250	-496.57856
0.01255	-481.53917
0.01260	-489.51460
0.01265	-508.65565
0.01270	-494.29986
0.01275	-509.33926
0.01280	-505.46547
0.01285	-506.14908
0.01290	-504.32613
0.01295	-508.65565
0.01300	-484.04573
0.01305	-507.97204
0.01310	-505.69334
0.01315	-507.97204
0.01320	-498.85726
0.01325	-501.59169
0.01330	-508.42778
0.01335	-494.52773
0.01340	-509.56713
0.01345	-491.56543
0.01350	-511.61795
0.01355	-482.90638
0.01360	-498.40152
0.01365	-504.78187
0.01370	-485.64082
0.01375	-500.90808
0.01380	-511.16221
0.01385	-511.39008
0.01390	-500.90808
0.01395	-512.30156
0.01400	-489.05886
0.01405	-512.52943
0.01410	-499.76873
0.01415	-510.93434
0.01420	-512.30156
0.01425	-511.16221
0.01430	-506.60482
0.01435	-505.92121
0.01440	-515.26387
0.01445	-502.50317
0.01450	-489.97034
0.01455	-513.66878
0.01460	-500.90808
0.01465	-511.84582
0.01470	-504.09826
0.01475	-487.91952
0.01480	-515.71961
0.01485	-502.04743
0.01490	-517.08682
0.01495	-517.08682
0.01500	-494.75560
0.01505	-501.81956
0.01510	-498.62939
0.01515	-497.49004
0.01520	-512.52943
0.01525	-514.35239
0.01530	-491.79330
0.01535	-514.12452
0.01540	-498.40152
0.01545	-496.35069
0.01550	-514.35239
0.01555	-514.12452
0.01560	-513.44091
0.01565	-500.90808
0.01570	-494.29986
0.01575	-516.40321
0.01580	-516.40321
0.01585	-496.12282
0.01590	-512.75730
0.01595	-496.35069
0.01600	-517.54256
0.01605	-503.41465
0.01610	-494.98347
0.01615	-515.71961
0.01620	-510.02287
0.01625	-512.52943
0.01630	-510.25074
0.01635	-517.08682
0.01640	-492.02117
0.01645	-500.68021
0.01650	-518.45404
0.01655	-491.10969
0.01660	-514.80813
0.01665	-516.85895
0.01670	-514.12452
0.01675	-518.90978
0.01680	-492.93265
0.01685	-507.51630
0.01690	-506.60482
0.01695	-518.90978
0.01700	-515.49174
0.01705	-515.94748
0.01710	-516.17534
0.01715	-505.92121
0.01720	-518.68191
0.01725	-515.94748
0.01730	-511.84582
0.01735	-503.87039
0.01740	-510.47860
0.01745	-518.22617
0.01750	-507.51630
0.01755	-498.62939
0.01760	-516.40321
0.01765	-507.51630
0.01770	-518.22617
0.01775	-517.31469
0.01780	-503.41465
0.01785	-514.35239
0.01790	-516.40321
0.01795	-499.31299
0.01800	-505.00973
0.01805	-514.12452
0.01810	-505.69334
0.01815	-513.89665
0.01820	-518.90978
0.01825	-509.33926
0.01830	-517.08682
0.01835	-512.52943
0.01840	-520.27700
0.01845	-490.19821
0.01850	-516.17534
0.01855	-492.47691
0.01860	-520.73274
0.01865	-505.92121
0.01870	-518.68191
0.01875	-517.08682
0.01880	-504.32613
0.01885	-511.16221
0.01890	-497.49004
0.01895	-519.59339
0.01900	-507.97204
0.01905	-490.65395
