Time	Force
0.00005	-511.29611
0.00010	-491.44856
0.00015	-511.98051
0.00020	-511.29611
0.00025	-511.98051
0.00030	-512.43677
0.00035	-513.80557
0.00040	-511.75237
0.00045	-511.52424
0.00050	-510.83984
0.00055	-512.20864
0.00060	-486.20151
0.00065	-513.34930
0.00070	-499.88947
0.00075	-509.47105
0.00080	-511.75237
0.00085	-495.09869
0.00090	-497.60815
0.00095	-512.43677
0.00100	-488.25471
0.00105	-492.13296
0.00110	-509.69918
0.00115	-492.81736
0.00120	-488.71097
0.00125	-512.66490
0.00130	-512.20864
0.00135	-509.69918
0.00140	-512.43677
0.00145	-510.83984
0.00150	-511.75237
0.00155	-484.83272
0.00160	-507.41785
0.00165	-511.75237
0.00170	-513.12117
0.00175	-510.38358
0.00180	-512.20864
0.00185	-503.99586
0.00190	-494.64242
0.00195	-503.76773
0.00200	-513.12117
0.00205	-499.20508
0.00210	-501.25827
0.00215	-514.03370
0.00220	-507.87412
0.00225	-509.92731
0.00230	-510.61171
0.00235	-511.75237
0.00240	-490.99230
0.00245	-493.27363
0.00250	-511.98051
0.00255	-510.38358
0.00260	-497.38001
0.00265	-511.75237
0.00270	-497.15188
0.00275	-490.30790
0.00280	-510.61171
0.00285	-507.18972
0.00290	-509.24291
0.00295	-509.92731
0.00300	-507.64598
0.00305	-509.24291
0.00310	-503.76773
0.00315	-492.13296
0.00320	-493.72989
0.00325	-506.27719
0.00330	-509.92731
0.00335	-482.55139
0.00340	-504.68026
0.00345	-496.23935
0.00350	-510.83984
0.00355	-508.55852
0.00360	-507.41785
0.00365	-509.69918
0.00370	-508.33038
0.00375	-506.27719
0.00380	-509.69918
0.00385	-509.92731
0.00390	-510.38358
0.00395	-511.75237
0.00400	-509.69918
0.00405	-507.64598
0.00410	-511.29611
0.00415	-509.01478
0.00420	-510.38358
0.00425	-502.17080
0.00430	-505.59279
0.00435	-504.68026
0.00440	-511.75237
0.00445	-485.28898
0.00450	-506.50532
0.00455	-504.90839
0.00460	-486.42965
0.00465	-507.18972
0.00470	-489.16724
0.00475	-505.59279
0.00480	-511.75237
0.00485	-510.15544
0.00490	-487.57031
0.00495	-493.27363
0.00500	-511.52424
0.00505	-509.01478
0.00510	-510.61171
0.00515	-507.64598
0.00520	-493.27363
0.00525	-512.66490
0.00530	-497.15188
0.00535	-509.01478
0.00540	-497.60815
0.00545	-488.48284
0.00550	-511.98051
0.00555	-487.11404
0.00560	-495.55495
0.00565	-493.95802
0.00570	-487.11404
0.00575	-511.75237
0.00580	-489.85164
0.00585	-505.36466
0.00590	-511.75237
0.00595	-486.42965
0.00600	-509.01478
0.00605	-512.20864
0.00610	-507.41785
0.00615	-507.18972
0.00620	-506.50532
0.00625	-511.75237
0.00630	-489.85164
0.00635	-509.01478
0.00640	-510.38358
0.00645	-507.41785
0.00650	-489.62350
0.00655	-509.47105
0.00660	-511.98051
0.00665	-485.28898
0.00670	-507.41785
0.00675	-509.92731
0.00680	-510.61171
0.00685	-510.38358
0.00690	-511.75237
0.00695	-504.45213
0.00700	-512.43677
0.00705	-491.67670
0.00710	-490.07977
0.00715	-504.45213
0.00720	-511.75237
0.00725	-506.96159
0.00730	-495.32682
0.00735	-511.75237
0.00740	-501.25827
0.00745	-512.20864
0.00750	-483.92019
0.00755	-498.29254
0.00760	-511.29611
0.00765	-501.94267
0.00770	-487.79844
0.00775	-505.82092
0.00780	-508.10225
0.00785	-511.75237
0.00790	-487.11404
0.00795	-510.61171
0.00800	-512.43677
0.00805	-485.74525
