Time	Moment
0.00005	-3.96394
0.00010	-3.88205
0.00015	-4.20333
0.00020	-4.05214
0.00025	-4.46792
0.00030	-4.31673
0.00035	-4.24113
0.00040	-4.10884
0.00045	-4.20333
0.00050	-4.39233
0.00055	-4.53722
0.00060	-4.05214
0.00065	-4.51832
0.00070	-3.85685
0.00075	-4.53092
0.00080	-4.25373
0.00085	-3.95134
0.00090	-3.88205
0.00095	-3.89465
0.00100	-4.48052
0.00105	-4.18443
0.00110	-4.17183
0.00115	-4.26633
0.00120	-4.17183
0.00125	-4.52462
0.00130	-4.16554
0.00135	-4.05214
0.00140	-3.96394
0.00145	-4.54352
0.00150	-4.51202
0.00155	-3.91355
0.00160	-3.90095
0.00165	-4.26633
0.00170	-4.14034
0.00175	-3.86945
0.00180	-4.02694
0.00185	-4.30413
0.00190	-4.02694
0.00195	-3.93874
0.00200	-3.93874
0.00205	-4.44272
0.00210	-4.31673
0.00215	-3.98284
0.00220	-3.85685
0.00225	-4.54352
0.00230	-4.52462
0.00235	-4.37973
0.00240	-4.49942
0.00245	-4.46792
0.00250	-3.95764
0.00255	-3.97654
0.00260	-4.00804
0.00265	-4.20333
0.00270	-4.32303
0.00275	-4.44272
0.00280	-4.03954
0.00285	-3.94504
0.00290	-3.90095
0.00295	-4.47422
0.00300	-4.27893
0.00305	-3.84425
0.00310	-4.19073
0.00315	-3.95134
0.00320	-3.87575
0.00325	-4.44902
0.00330	-3.90725
0.00335	-4.30413
0.00340	-4.48682
0.00345	-4.27893
0.00350	-3.85685
0.00355	-3.99544
0.00360	-4.51832
0.00365	-3.85685
0.00370	-3.84425
0.00375	-4.31043
0.00380	-4.00804
0.00385	-3.81275
0.00390	-4.22853
0.00395	-4.39233
0.00400	-4.13404
0.00405	-3.81275
0.00410	-3.98284
0.00415	-4.48682
0.00420	-4.17813
0.00425	-4.19703
0.00430	-4.46162
0.00435	-4.14034
0.00440	-3.93874
0.00445	-3.98284
0.00450	-3.86945
0.00455	-4.44902
0.00460	-4.38603
0.00465	-4.39233
0.00470	-3.93874
0.00475	-4.34193
0.00480	-4.47422
0.00485	-4.28523
0.00490	-4.07734
0.00495	-3.83165
0.00500	-3.88205
0.00505	-4.40493
0.00510	-4.39863
0.00515	-4.41752
0.00520	-4.17183
0.00525	-3.80645
0.00530	-3.93244
0.00535	-4.47422
0.00540	-3.83795
0.00545	-3.85055
0.00550	-4.49312
0.00555	-4.42382
0.00560	-4.49312
0.00565	-4.49312
0.00570	-4.51832
0.00575	-3.83165
0.00580	-3.97654
0.00585	-4.27893
0.00590	-4.41752
0.00595	-4.50572
0.00600	-4.00804
0.00605	-4.37973
0.00610	-4.50572
0.00615	-3.81275
0.00620	-4.06474
0.00625	-4.47422
0.00630	-3.85055
0.00635	-4.05844
0.00640	-4.42382
0.00645	-4.57502
0.00650	-4.22223
0.00655	-4.05844
0.00660	-3.90725
0.00665	-4.10254
0.00670	-4.43642
0.00675	-3.82535
0.00680	-3.78755
0.00685	-4.45532
0.00690	-4.02694
0.00695	-4.19703
0.00700	-4.00804
0.00705	-3.83795
0.00710	-3.88835
0.00715	-4.34193
0.00720	-3.80645
0.00725	-4.30413
0.00730	-4.32933
0.00735	-3.78755
0.00740	-3.81275
0.00745	-4.49942
0.00750	-4.00804
0.00755	-3.79385
0.00760	-3.78125
0.00765	-3.81905
0.00770	-4.38603
0.00775	-4.36083
0.00780	-4.03324
0.00785	-4.27263
0.00790	-4.24743
0.00795	-3.74345
0.00800	-4.48052
0.00805	-3.82535
0.00810	-4.44272
0.00815	-4.32933
0.00820	-3.94504
0.00825	-3.82535
0.00830	-3.98284
0.00835	-4.13404
